TIMESTAMP,wnd_spd,wnd_spd_max,wnd_spd_min,u_star,wnd_dir_sonic
26-11-15 18,2.2386985,2.897111,1.580286,0.3648383,-24.78154
26-11-15 19,1.62026,1.823336,1.417184,0.1670096,34.91187
26-11-15 20,1.6079025,1.797316,1.418489,0.16903585,135.34525
26-11-15 21,1.9260385,2.341799,1.510278,0.26910265,173.28365
26-11-15 22,1.7496925,2.007105,1.49228,0.21159385,-136.12325
26-11-15 23,1.3022505,1.319111,1.28539,0.133291915,67.687275
26-12-15 00,1.1056342,1.297322,0.9139464,0.1200526,-68.68688
26-12-15 01,1.312081,1.48555,1.138612,0.12074185,-154.3405
26-12-15 02,1.1775935,1.259625,1.095562,0.1271575,-100.947335
26-12-15 03,1.0897744,1.374442,0.8051068,0.07614855,173.32625
26-12-15 04,1.547308,1.742753,1.351863,0.134498045,-0.64555
26-12-15 05,0.80469935,0.8714933,0.7379054,0.07048392,65.851645
26-12-15 06,1.3316535,1.387286,1.276021,0.08912208,107.6216
26-12-15 07,0.8178534,0.920957,0.7147498,0.1312829,22.668755
26-12-15 08,1.5225675,1.623022,1.422113,0.31007395,66.15878
26-12-15 09,1.7067945,1.817613,1.595976,0.27682075,36.66214
26-12-15 10,1.5744945,2.029455,1.119534,0.2415206,12.96432
26-12-15 11,1.31772095,1.672902,0.9625399,0.15087305,41.798385
26-12-15 12,1.39085,1.545116,1.236584,0.20312655,96.67718
26-12-15 13,3.2100615,3.877,2.543123,0.5365273,76.17061
26-12-15 14,3.1852725,3.690042,2.680503,0.4777705,110.17695
26-12-15 15,3.1922085,3.23923,3.145187,0.50826625,57.32652
26-12-15 16,1.876266,2.130173,1.622359,0.2360341,117.79005
26-12-15 17,1.814883,2.354489,1.275277,0.27918105,97.173385
26-12-15 18,0.77972475,0.9570383,0.6024112,0.109820495,-12.56319
26-12-15 19,0.91915685,1.073056,0.7652577,0.08876507,10.04735
26-12-15 20,0.835675,1.013298,0.658052,0.06338494,134.011115
26-12-15 21,0.99598475,1.090447,0.9015225,0.081979235,149.4018
26-12-15 22,0.760925,1.074361,0.447489,0.052987995,5.70625
26-12-15 23,0.86584725,1.062099,0.6695955,0.055303835,134.65165
27-01-15 00,0.7841981,0.7926353,0.7757609,0.061648805,-134.8687
27-01-15 01,0.79783635,0.9443446,0.6513281,0.06758798,-128.4646
27-01-15 02,0.58702425,0.6781162,0.4959323,0.03911301,-130.3039
27-01-15 03,0.83718025,0.9355491,0.7388114,0.06107446,-151.2159
27-01-15 04,0.7689885,0.8180347,0.7199423,0.081392515,-154.95595
27-01-15 05,0.8685104,0.8802439,0.8567769,0.076514775,-128.8027
27-01-15 06,0.9206648,1.14814,0.6931896,0.087712735,-120.62075
27-01-15 07,1.6648335,1.973592,1.356075,0.27307115,-92.461985
27-01-15 08,1.8056075,2.004238,1.606977,0.31928665,-91.256335
27-01-15 09,1.8003965,1.978253,1.62254,0.3097185,-107.08975
27-01-15 10,2.3988705,2.744362,2.053379,0.4484551,-93.22696
27-01-15 11,2.401114,2.460446,2.341782,0.45352025,-101.90827
27-01-15 12,2.528065,2.56413,2.492,0.4175176,-52.320585
27-01-15 13,2.817992,2.846117,2.789867,0.3921698,4.467905
27-01-15 14,1.2644781,1.702422,0.8265342,0.178968775,146.2553
27-01-15 15,1.783555,2.110386,1.456724,0.3135035,101.355445
